ethnic,carvan,turnover,lonepar,phia
0.162,52.9,4.1,7.6,0
0.071,26.1,7.6,5.4,0
0.37,50,9.1,7.4,0
0.098,77.5,10.1,2.2,0
0.443,40,14.7,9.9,0
0.627,33,14.4,8,0
0.538,43.1,9.7,12,0
0.6,66.7,7.7,8.8,0
0.285,33,17.3,4.7,0
0.594,46.4,8,11.9,0
0.496,45.1,15.3,8.1,0
0.664,40,4.2,2.7,0
0.173,47.8,10.3,19.3,0
0.721,37.2,20.6,5.6,0
0.739,42.6,9.4,11.7,0
0.484,47.7,7.2,6.9,0
0.544,54.1,15.3,7.3,0
0.641,46.6,12.7,4.5,0
0.532,53.7,21.5,8.7,0
0.342,48.2,6.6,15.6,0
0.446,55.3,8.2,8.3,0
0.09,71.5,11.8,0,0
0.402,47.2,17.5,17.6,0
0.396,53.6,3.5,17.6,0
0.443,56.8,9.9,21.9,0
0.262,30.3,5.7,6.8,0
0.171,27.2,9.4,5.6,0
0.088,9.2,2.8,2,0
0.029,42.3,6.3,7.9,0
0.073,57.4,7.5,0,0
0.04,22.1,8.5,5.3,0
0.106,11.7,8.6,4.7,0
0.03,13.6,2.5,3.6,0
0.138,32.8,4.3,2.5,0
0.017,19.6,3.7,2,0
0,51.5,7.5,6.9,0
0.199,40.5,7.5,6.1,0
0.059,16,3.4,0,0
0.046,17.6,7.5,3.8,0
0.044,51.3,7.5,14.4,0
0.09,47.2,6.8,3.2,0
0.15,49.2,12,15.1,0
0.09,49.6,10.9,14.7,0
0.038,55.9,8.1,3.9,0
0.102,30.7,6.3,7.3,0
0.034,52.6,6.1,5,0
0.052,54.5,3.6,28,0
0.1,55.9,13,24.2,0
0.029,64.2,7.7,0,0
0.04,49.2,9.9,15.7,0
0.071,39.8,11,17.8,0
0.091,48.6,6.7,13.1,0
0,56.5,6.2,11.3,0
0.063,51.2,16.4,13,0
0.221,26,8.7,4.2,0
0.03,63.9,5.1,0,0
0.055,26.7,8.5,5.3,0
0.078,32.2,9.9,5.8,0
0.066,15,1.1,3.5,0
0.082,29.7,4.9,5.3,0
0.06,41.9,18.4,8.5,0
0.098,62.7,11.9,11.5,0
0.33,37.8,13,4,0
0.103,52.4,3.8,5.6,0
0.117,32.8,1.8,2.6,0
0.127,71.9,11.2,8.4,0
0.034,67.2,6.6,31.9,0
0.062,69.2,11.1,14.4,0
0.07,51.4,6.6,8.5,0
0.414,18.1,4.5,2.8,0
0.146,67.1,7.7,2,0
0.039,55.9,5.9,9.3,0
0.109,38.6,7.5,3.3,0
0.098,59,6.9,2.1,0
0.091,47.9,10,5.1,0
0.069,19.2,7.1,3.7,0
0.026,64,18.9,9.4,0
0.109,60.8,7.5,8.5,0
0.085,50.4,2.6,3.7,0
0.041,44.9,4.8,2.6,0
0.144,67.4,25,3.7,0
0,62.2,9.8,10.5,0
0,45.5,7.6,7.8,0
0.048,77.5,19,0,0
0.055,58.4,10.4,7.6,0
0.183,56.9,11.8,12.6,0
0,54.3,7,6.9,0
0.176,60.9,13.8,6.1,0
0.128,54.6,11.4,15.7,0
0.206,56.1,9.5,22.4,0
0.031,72.2,5.6,3.6,0
0.085,57.9,11.5,20.2,0
0.097,59.3,9.2,19,0
0.048,54.6,6.6,7.1,0
0.13,60.4,10.2,7.1,0
0.116,64.2,10.3,18.8,0
0.118,53.2,17.6,15.7,0
0.208,36.1,11.6,16.4,0
0.1,57.5,14.5,20.5,0
0.046,64.7,12.2,23.9,0
0.129,53.8,14.1,19.8,0
0.274,59.1,13.8,23.9,0
0.083,70.1,19.1,7.4,0
0.072,63.6,4.7,10.8,0
0.268,52,7,10,0
0.102,20.5,10.9,5.2,0
0.292,59,11.7,10.3,0
0.188,44,11,8.7,0
0.212,43.3,8.3,8,0
0.025,15.8,5.7,2.6,0
0.295,56.6,6.7,21.5,0
0.364,57.8,9.7,14.9,0
0.114,44.3,14,15.7,0
0.106,42.6,7.9,10.7,0
0.071,41.9,13,9.7,0
0.082,51.2,13.9,26.4,0
0.107,41,12.7,19.9,0
0.105,49.6,9.5,18.5,0
0.069,43.5,9.2,9.6,0
0,9.2,8.5,2.5,0
0.037,41.2,13.3,8.3,0
0.108,52.4,8.3,13,0
0.134,47.2,6.4,19.4,0
0.077,40.3,6.6,13.1,0
0.115,44.8,8.7,7.7,0
0.109,53.7,9.2,22.8,0
0.069,48.2,7.2,16,0
0.023,45.2,11.4,14.2,0
0.021,54.8,9.4,18.2,0
0.067,48.9,15.2,15.6,0
0.102,46.7,12.3,11.3,0
0.181,43.5,14.1,18.1,0
0.182,48.4,14.7,19.2,0
0.063,48.9,9.9,11.7,0
0.092,43.4,9.5,7.6,0
0.085,43.9,8.3,2.8,0
0.157,46,8.2,10.8,0
0.161,58.1,12.2,13,0
0.252,56.2,4.2,8.3,0
0.096,19,5.7,2.8,0
0.637,52.2,17,22.8,0
0.54,52.2,32.5,6.5,0
0.536,41.7,55.1,8.2,0
0.129,49.7,14,4,0
0.083,43.8,11.9,13.4,0
0.194,51.6,9.9,12.5,0
0.3,66.2,12.6,11.3,0
0.105,48.8,13.6,7.4,0
0.141,46.2,17.3,9.5,0
0.315,63.4,14.8,20.7,0
0.116,66.1,17,22,0
0.083,17.4,6.8,2.9,0
0.019,17.7,7.3,2.2,0
0.022,32.6,2.9,4.7,0
