COA,y2005,y2006,y2007,y2008,houses
00JANP0009,1,3,5,5,118
00JANP0010,0,3,1,4,145
00JANP0011,2,1,9,12,146
00JANP0012,3,5,3,7,166
00JANP0013,0,1,0,2,108
00JANP0014,1,3,3,2,123
00JANP0015,2,1,2,7,135
00JANP0016,6,3,5,5,128
00JANP0017,2,1,6,6,127
00JANP0018,1,2,1,1,140
00JANP0019,1,6,3,3,117
00JANP0020,0,0,0,4,139
00JANP0021,0,2,9,2,107
00JANP0022,3,9,9,1,120
00JANP0023,4,5,9,5,130
00JANP0024,1,5,3,3,115
00JANP0025,1,2,4,3,151
00JANP0026,3,2,0,1,108
00JANP0027,0,0,2,1,112
00JANP0028,8,2,4,4,138
00JANP0029,1,4,6,10,137
00JANP0030,3,4,1,4,95
00JANP0031,0,3,3,12,127
00JANP0032,7,9,5,6,155
00JANP0033,1,2,4,4,109
00JANP0034,1,1,5,1,105
00JANQ0001,0,0,2,2,145
00JANQ0002,0,0,0,0,146
00JANQ0003,0,0,2,0,123
00JANQ0004,0,0,3,0,120
00JANQ0005,1,0,1,2,141
00JANQ0006,0,0,0,0,131
00JANQ0007,2,0,1,0,134
00JANQ0008,0,2,3,3,124
00JANQ0009,4,3,1,1,110
00JANQ0010,0,0,0,1,134
00JANQ0011,1,5,3,4,117
00JANQ0012,3,3,3,4,126
00JANQ0013,1,5,5,3,141
00JANQ0014,0,1,0,0,149
00JANQ0015,2,6,5,9,239
00JANQ0016,4,6,5,10,134
00JANQ0017,5,2,10,1,138
00JANQ0018,6,3,5,4,143
00JANQ0019,0,0,0,0,134
00JANQ0020,0,0,0,0,115
00JANQ0021,0,0,0,0,123
00JANQ0022,4,1,0,0,110
00JANQ0023,1,1,0,0,103
00JANQ0024,0,0,0,0,141
00JANQ0025,0,0,0,0,128
00JANQ0026,0,5,1,1,143
00JANQ0027,0,0,1,3,121
00JANQ0028,1,2,0,1,129
00JANS0001,4,3,7,9,147
00JANS0002,0,7,3,1,118
00JANS0003,0,0,1,1,105
00JANS0004,0,1,4,3,114
00JANS0005,1,1,2,2,146
00JANS0006,0,2,3,2,139
00JANS0007,4,3,6,5,135
00JANS0008,0,3,0,2,122
00JANS0009,0,0,0,0,131
