COA,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,houses
00JANG0030,4,4,3,2,3,1,1,4,135
00JANG0031,0,3,0,2,1,1,1,1,112
00JANJ0001,4,2,3,0,2,2,3,2,131
00JANJ0002,1,5,5,2,4,4,3,1,121
00JANJ0003,1,5,5,1,0,0,1,0,120
00JANJ0004,1,0,0,0,0,1,6,2,138
00JANJ0005,1,3,1,1,6,3,3,2,150
00JANJ0006,2,2,4,2,2,0,3,1,139
00JANJ0007,4,2,2,2,3,2,2,3,143
00JANJ0008,5,4,7,1,1,4,8,8,143
00JANJ0009,1,2,0,0,1,1,2,2,151
00JANJ0010,2,10,9,2,0,2,3,2,100
00JANJ0011,3,4,7,1,5,2,4,1,136
00JANJ0012,1,4,3,0,4,5,0,2,119
00JANJ0013,2,2,7,4,1,4,8,4,140
00JANJ0014,5,9,5,2,1,1,2,0,120
00JANJ0015,2,2,1,0,2,0,3,3,96
00JANJ0016,2,2,2,0,0,1,1,1,100
00JANJ0017,1,6,12,0,3,4,1,0,121
00JANJ0018,3,6,8,1,2,1,4,2,137
00JANJ0019,1,5,7,2,3,2,4,2,114
00JANJ0020,1,6,6,0,3,2,1,3,130
00JANJ0021,4,2,4,1,5,4,7,1,129
00JANJ0022,5,3,6,0,1,7,2,4,145
00JANJ0023,2,1,2,3,1,6,3,1,131
00JANJ0024,1,2,3,0,0,1,2,1,141
00JANJ0025,0,7,4,0,2,1,2,4,128
00JANJ0026,4,1,1,3,1,3,3,1,130
00JANJ0027,3,1,2,1,0,1,6,2,124
00JANJ0028,6,7,6,5,8,5,6,1,141
00JANJ0029,2,5,2,0,2,5,1,3,145
00JANJ0030,8,8,12,4,5,5,5,4,134
00JANM0001,3,7,2,3,4,0,1,4,129
00JANM0002,0,5,7,1,3,3,4,5,129
00JANM0003,5,2,4,2,0,1,2,3,130
00JANM0004,3,10,1,2,1,3,4,5,122
00JANM0005,4,1,1,2,3,3,2,2,131
00JANM0006,2,1,9,1,0,0,2,6,120
00JANM0007,5,1,6,1,0,1,0,5,142
00JANM0008,1,2,4,0,0,0,1,2,137
00JANM0009,3,9,2,0,2,0,3,3,126
00JANM0010,4,3,5,3,2,0,2,1,126
00JANM0011,2,3,1,1,1,1,1,0,118
00JANM0012,4,4,3,0,3,2,4,1,131
00JANM0013,0,2,3,2,0,0,2,6,117
00JANM0014,0,5,2,1,2,1,4,3,128
00JANM0015,1,2,2,2,5,0,2,3,120
00JANM0016,0,1,2,1,2,0,0,2,117
00JANM0017,1,5,4,2,2,2,6,9,107
00JANM0018,6,2,4,5,1,2,1,3,129
00JANM0019,6,3,1,1,1,0,2,3,133
00JANP0001,9,8,3,2,3,4,1,4,139
00JANP0002,8,9,5,0,1,4,2,4,115
00JANP0003,2,5,1,2,1,3,5,6,142
00JANP0004,1,0,2,0,0,2,2,6,122
00JANP0005,1,8,5,1,2,2,1,3,122
00JANP0006,3,4,5,0,1,4,1,3,128
00JANP0007,4,10,3,1,1,1,1,2,126
00JANP0008,12,4,4,1,0,0,0,0,115
00JANP0009,2,5,1,2,1,3,5,5,118
00JANP0010,10,5,4,2,0,3,1,4,145
00JANP0011,4,4,5,5,2,1,9,12,146
00JANP0012,1,4,4,2,3,5,3,7,166
00JANP0013,0,6,4,1,0,1,0,2,108
00JANP0014,2,8,2,2,1,3,3,2,123
00JANP0015,2,8,2,2,2,1,2,7,135
00JANP0016,7,9,4,3,6,3,5,5,128
00JANP0017,12,10,4,12,2,1,6,6,127
00JANP0018,2,5,2,1,1,2,1,1,140
00JANP0019,6,6,3,10,1,6,3,3,117
00JANP0020,3,3,5,0,0,0,0,4,139
00JANP0021,4,6,6,2,0,2,9,2,107
00JANP0022,5,7,6,5,3,9,9,1,120
00JANP0023,10,11,6,4,4,5,9,5,130
00JANP0024,6,7,3,2,1,5,3,3,115
00JANP0025,3,6,4,0,1,2,4,3,151
00JANP0026,2,2,1,0,3,2,0,1,108
00JANP0027,2,7,0,1,0,0,2,1,112
00JANP0028,0,4,3,7,8,2,4,4,138
00JANP0029,4,6,3,3,1,4,6,10,137
00JANP0030,5,7,3,2,3,4,1,4,95
00JANP0031,2,5,3,1,0,3,3,12,127
00JANP0032,13,21,4,5,7,9,5,6,155
00JANP0033,3,6,2,2,1,2,4,4,109
00JANP0034,1,10,4,2,1,1,5,1,105
00JANQ0001,4,3,0,1,0,0,2,2,145
00JANQ0002,1,6,4,1,0,0,0,0,146
00JANQ0003,0,3,1,0,0,0,2,0,123
00JANQ0004,2,3,1,1,0,0,3,0,120
00JANQ0005,4,2,0,0,1,0,1,2,141
00JANQ0006,2,0,1,0,0,0,0,0,131
00JANQ0007,11,7,7,1,2,0,1,0,134
00JANQ0008,2,10,2,1,0,2,3,3,124
00JANQ0009,4,3,0,2,4,3,1,1,110
00JANQ0010,5,1,0,0,0,0,0,1,134
00JANQ0011,3,2,5,0,1,5,3,4,117
00JANQ0012,2,5,4,4,3,3,3,4,126
00JANQ0013,7,1,3,1,1,5,5,3,141
00JANQ0014,0,1,0,1,0,1,0,0,149
00JANQ0015,6,4,7,5,2,6,5,9,239
00JANQ0016,3,7,5,1,4,6,5,10,134
00JANQ0017,1,14,12,6,5,2,10,1,138
00JANQ0018,4,20,6,4,6,3,5,4,143
00JANQ0019,2,1,0,0,0,0,0,0,134
00JANQ0020,2,1,1,1,0,0,0,0,115
00JANQ0021,0,1,0,0,0,0,0,0,123
00JANQ0022,0,0,0,1,4,1,0,0,110
00JANQ0023,1,3,1,0,1,1,0,0,103
00JANQ0024,0,2,1,2,0,0,0,0,141
00JANQ0025,0,2,1,1,0,0,0,0,128
00JANQ0026,2,6,4,0,0,5,1,1,143
00JANQ0027,2,6,0,0,0,0,1,3,121
00JANQ0028,5,4,2,0,1,2,0,1,129
00JANS0001,5,14,9,3,4,3,7,9,147
00JANS0002,1,4,5,1,0,7,3,1,118
00JANS0003,2,0,0,0,0,0,1,1,105
00JANS0004,2,3,5,1,0,1,4,3,114
00JANS0005,6,5,3,1,1,1,2,2,146
00JANS0006,2,4,15,4,0,2,3,2,139
00JANS0007,6,7,8,6,4,3,6,5,135
00JANS0008,1,3,3,1,0,3,0,2,122
00JANS0009,1,2,3,2,0,0,0,0,131
00JANS0010,0,2,6,0,0,0,3,4,136
00JANS0011,2,6,8,3,2,3,1,1,135
00JANS0012,1,5,3,0,1,1,2,4,132
00JANS0013,3,3,2,1,0,2,2,3,134
00JANS0014,4,5,3,2,1,0,5,2,132
00JANS0015,5,3,5,3,1,3,2,2,130
00JANS0016,1,5,6,2,0,2,2,0,113
00JANS0017,6,4,9,0,1,2,6,4,138
00JANS0018,3,1,3,1,0,2,2,7,120
00JANS0019,3,6,7,4,4,3,4,9,111
00JANS0020,1,5,2,2,2,0,8,4,158
00JANS0021,3,8,1,2,0,1,1,0,131
00JANS0022,8,5,7,4,4,1,5,8,130
00JANS0023,6,7,15,6,3,2,1,3,126
00JANS0024,0,5,7,2,3,7,1,2,132
00JANS0025,3,6,3,0,4,0,5,6,106
00JANS0026,4,2,2,3,0,2,4,4,142
00JANS0027,4,3,12,6,0,0,4,16,147
00JANT0001,1,1,4,1,3,0,3,2,121
00JANT0002,2,0,1,0,0,0,0,0,124
00JANT0003,3,4,3,1,1,1,1,1,127
00JANT0004,6,5,4,3,3,4,3,1,117
00JANT0005,3,4,6,2,0,3,3,1,126
00JANT0006,1,1,1,1,1,0,3,0,135
00JANT0007,9,7,4,5,3,3,6,10,137
00JANT0008,1,8,5,1,0,1,4,10,154
00JANT0009,0,3,0,0,0,0,1,1,153
00JANT0010,0,1,2,0,0,0,0,3,105
00JANT0011,2,2,1,1,0,0,0,2,143
00JANT0012,5,2,3,0,0,0,1,1,108
00JANT0013,0,2,3,0,0,1,1,1,116
00JANT0014,2,0,3,0,0,2,2,6,120
00JANT0015,2,2,1,1,0,1,2,4,108
00JANT0016,3,4,5,1,2,1,2,3,119
00JANT0017,1,7,5,3,4,2,3,5,111
00JANT0018,4,5,2,1,0,1,2,0,134
